Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"2-Bedroom Unit (12O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",32121000.0,2.0,2.0,104.0,,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-12o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (32L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",11809000.0,1.0,1.0,39.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-32l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (50J) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",10786000.0,1.0,1.0,34.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-50j-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3803) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16755000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3803-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Deluxe (28E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12615000.0,1.0,1.0,45.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-28e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Freya, NR...","Buli, Taal",8967000.0,5.0,,142.0,156.0,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-freya-nrfo.html
"4-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Dana, NRF...","Buli, Taal",6380000.0,4.0,,85.0,99.0,13.885835,120.955093,https://www.lamudi.com.ph/4-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-dana-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Criselle,...","Buli, Taal",2883000.0,2.0,,40.0,66.0,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-criselle-nrfo.html
"1-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",9696429.0,1.0,1.0,54.0,,7.0928915,125.6056916,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ella","Cupang Proper, Balanga",6592000.0,5.0,,100.0,121.0,14.666375,120.54822,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-ella.html
"4-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Dani","Cupang Proper, Balanga",5870000.0,4.0,,83.0,110.0,14.666375,120.54822,https://www.lamudi.com.ph/4-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-dani.html
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle...","Cupang Proper, Balanga",2153000.0,2.0,,36.0,42.0,14.666375,120.54822,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-arielle-iu.html
"1BR Executive Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-sell...","Hippodromo, Cebu",9282900.0,1.0,1.0,56.0,,10.31589,123.905916578,https://www.lamudi.com.ph/1br-executive-condo-unit-for-sale-in-lucima-cebu-business-park-cebu-city-pre-selling.html
"Studio Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu",8820825.0,1.0,1.0,41.0,,10.3051555,124.0112408,https://www.lamudi.com.ph/studio-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"1-Bedroom Unit (48D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig",27611000.0,1.0,1.0,70.0,,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-48d-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Studio Unit (40L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12245000.0,1.0,1.0,40.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-40l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (16F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21737000.0,1.0,1.0,67.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-16f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (24D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",20577000.0,1.0,1.0,65.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-24d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1718) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15364000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1718-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (46D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21459000.0,1.0,1.0,66.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-46d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (25E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",12433000.0,1.0,1.0,45.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-25e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (40M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21361000.0,1.0,1.0,65.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-40m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3814) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16411000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3814-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (47A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",23578000.0,1.0,1.0,67.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-47a-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (2703) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16033000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2703-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (59E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",26888000.0,1.0,1.0,76.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-59e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3115) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16007000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3115-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3216) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16076000.0,1.0,,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3216-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (41D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",21322000.0,1.0,1.0,66.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-41d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas",5898000.0,3.0,,66.0,131.0,13.962775,121.564527,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-cara-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, NR...","Buli, Taal",4592000.0,2.0,,53.0,88.0,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-bella-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle I...","Buli, Taal",2134000.0,2.0,,36.0,44.0,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-arielle-iu-nrfo.html
"2-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",8122321.0,2.0,1.0,45.0,,7.0928915,125.6056916,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html
"2-Bedroom Unit (17O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",32507000.0,2.0,2.0,104.0,,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-17o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3403) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16420000.0,1.0,1.0,57.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3403-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3420) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16672000.0,1.0,,58.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3420-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3710) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",16172000.0,1.0,,58.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3710-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1715) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15737000.0,1.0,,58.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1715-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1721) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",15364000.0,1.0,,56.0,,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1721-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (39F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22153000.0,1.0,1.0,66.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-39f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (42E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",13227000.0,1.0,1.0,46.0,,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-42e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (43B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",34033000.0,2.0,2.0,106.0,,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-43b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (49M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",23554000.0,1.0,1.0,70.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-49m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (38K) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig",22973000.0,1.0,1.0,66.0,,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-38k-for-sale-in-empress-at-capitol-commons-pasig-city.html
